,original_title,Director,Combined,overview
0,Avatar,James Cameron,"Sam Worthington,Zoe Saldana,Sigourney Weaver,James Cameron,Action,Adventure,Fantasy,Avatar","In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."
1,Pirates of the Caribbean: At World's End,Gore Verbinski,"Johnny Depp,Orlando Bloom,Keira Knightley,Gore Verbinski,Adventure,Fantasy,Action,Pirates of the Caribbean: At World's End","Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems."
2,Spectre,Sam Mendes,"Daniel Craig,Christoph Waltz,Léa Seydoux,Sam Mendes,Action,Adventure,Crime,Spectre","A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE."
3,The Dark Knight Rises,Christopher Nolan,"Christian Bale,Michael Caine,Gary Oldman,Christopher Nolan,Action,Crime,Drama,The Dark Knight Rises","Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy."
4,John Carter,Andrew Stanton,"Taylor Kitsch,Lynn Collins,Samantha Morton,Andrew Stanton,Action,Adventure,Science Fiction,John Carter","John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands."
5,Spider-Man 3,Sam Raimi,"Tobey Maguire,Kirsten Dunst,James Franco,Sam Raimi,Fantasy,Action,Adventure,Spider-Man 3","The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle."
6,Tangled,Byron Howard,"Zachary Levi,Mandy Moore,Donna Murphy,Byron Howard,Animation,Family,Tangled","When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs."
7,Avengers: Age of Ultron,Joss Whedon,"Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Joss Whedon,Action,Adventure,Science Fiction,Avengers: Age of Ultron","When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure."
8,Harry Potter and the Half-Blood Prince,David Yates,"Daniel Radcliffe,Rupert Grint,Emma Watson,David Yates,Adventure,Fantasy,Family,Harry Potter and the Half-Blood Prince","As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past."
9,Batman v Superman: Dawn of Justice,Zack Snyder,"Ben Affleck,Henry Cavill,Gal Gadot,Zack Snyder,Action,Adventure,Fantasy,Batman v Superman: Dawn of Justice","Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before."
10,Superman Returns,Bryan Singer,"Brandon Routh,Kevin Spacey,Kate Bosworth,Bryan Singer,Adventure,Fantasy,Action,Superman Returns","Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel."
11,Quantum of Solace,Marc Forster,"Daniel Craig,Olga Kurylenko,Mathieu Amalric,Marc Forster,Adventure,Action,Thriller,Quantum of Solace","Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined."
12,Pirates of the Caribbean: Dead Man's Chest,Gore Verbinski,"Johnny Depp,Orlando Bloom,Keira Knightley,Gore Verbinski,Adventure,Fantasy,Action,Pirates of the Caribbean: Dead Man's Chest","Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation."
13,The Lone Ranger,Gore Verbinski,"Johnny Depp,Armie Hammer,William Fichtner,Gore Verbinski,Action,Adventure,Western,The Lone Ranger","The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice."
14,Man of Steel,Zack Snyder,"Henry Cavill,Amy Adams,Michael Shannon,Zack Snyder,Action,Adventure,Fantasy,Man of Steel","A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind."
15,The Chronicles of Narnia: Prince Caspian,Andrew Adamson,"Ben Barnes,William Moseley,Anna Popplewell,Andrew Adamson,Adventure,Family,Fantasy,The Chronicles of Narnia: Prince Caspian","One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir."
16,The Avengers,Joss Whedon,"Robert Downey Jr.,Chris Evans,Mark Ruffalo,Joss Whedon,Science Fiction,Action,Adventure,The Avengers","When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!"
17,Pirates of the Caribbean: On Stranger Tides,Rob Marshall,"Johnny Depp,Penélope Cruz,Ian McShane,Rob Marshall,Adventure,Action,Fantasy,Pirates of the Caribbean: On Stranger Tides","Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past."
18,Men in Black 3,Barry Sonnenfeld,"Will Smith,Tommy Lee Jones,Josh Brolin,Barry Sonnenfeld,Action,Comedy,Science Fiction,Men in Black 3","Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind."
19,The Hobbit: The Battle of the Five Armies,Peter Jackson,"Martin Freeman,Ian McKellen,Richard Armitage,Peter Jackson,Action,Adventure,Fantasy,The Hobbit: The Battle of the Five Armies","Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands."
20,The Amazing Spider-Man,Marc Webb,"Andrew Garfield,Emma Stone,Rhys Ifans,Marc Webb,Action,Adventure,Fantasy,The Amazing Spider-Man","Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero."
21,Robin Hood,Ridley Scott,"Russell Crowe,Cate Blanchett,Max von Sydow,Ridley Scott,Action,Adventure,Robin Hood","When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey."
